DATE            Open   High   Low     Close  Volume           
01-Sep-2022	320	322	316	318	164540	
02-Sep-2022	319	324	318	323	177786	
05-Sep-2022	325	330	324	329	169972	
06-Sep-2022	330	330	326	327	132143	
07-Sep-2022	326	328	325	326	101541	
08-Sep-2022	329	331	328	330	103688	
09-Sep-2022	331	333	330	331	133330	
12-Sep-2022	332	332	330	331	92310	
13-Sep-2022	332	335	331	334	141649	
16-Aug-2022	309	312	309	311	119342	
17-Aug-2022	312	313	311	313	114115	
18-Aug-2022	313	316	313	316	118060	
19-Aug-2022	316	316	311	312	111105	
22-Aug-2022	311	317	311	314	139216	
23-Aug-2022	313	316	312	316	107866	

24-Aug-2022	316	319	313	314	139184	
25-Aug-2022	315	316	312	312	98542	
26-Aug-2022	315	315	312	313	155321	
29-Aug-2022	310	315	309	314	144239	
30-Aug-2022	314	321	314	321	136127	
